corpus,doc_id,chunk_id,assigned_corpus,assignment_score
Project2025,project2025,c0095,Project2025,0.7149322795677762
Project2025,project2025,c0096,Project2025,0.7883865252760802
Project2025,project2025,c0097,Project2025,0.7574483580938894
Project2025,project2025,c0098,Project2025,0.7091669170223406
Project2025,project2025,c0099,Project2025,0.7614874876374531
Project2025,project2025,c0100,Project2025,0.7093274618266275
Project2025,project2025,c0101,Project2025,0.8004827243513446
Project2025,project2025,c0102,Project2025,0.6617796238147815
Project2025,project2025,c0103,Project2025,0.6510510756658934
Project2025,project2025,c0104,Project2025,0.5948860541462972
Project2025,project2025,c0105,Project2025,0.6030844409834489
Project2025,project2025,c0106,Project2025,0.6060371582202131
Project2025,project2025,c0107,Project2025,0.6418719385700224
Project2025,project2025,c0108,Project2025,0.6669772994547242
Project2025,project2025,c0109,Project2025,0.48310755492169455
Project2025,project2025,c0110,Project2025,0.44418431688368126
Project2025,project2025,c0111,Project2025,0.3930443180271906
Project2025,project2025,c0112,Project2025,0.5001276925528902
Project2025,project2025,c0113,Project2025,0.5652662267119685
Project2025,project2025,c0114,Project2025,0.721114455436906
Project2025,project2025,c0115,Project2025,0.6954959882436955
Project2025,project2025,c0116,Project2025,0.758657925358838
Project2025,project2025,c0117,Project2025,0.6983953047855195
Project2025,project2025,c0118,Project2025,0.7425769746979688
Project2025,project2025,c0119,Project2025,0.7145196113123374
Project2025,project2025,c0120,Project2025,0.6983681108271845
Project2025,project2025,c0121,Project2025,0.6143339543857317
Project2025,project2025,c0122,Project2025,0.6421567457922489
Project2025,project2025,c0123,Project2025,0.6726842352225145
Project2025,project2025,c0124,Project2025,0.7819945677564255
Project2025,project2025,c0125,Project2025,0.7340180089603974
Project2025,project2025,c0126,Project2025,0.6775190673035625
Project2025,project2025,c0127,Project2025,0.5978679045117522
Project2025,project2025,c0128,Project2025,0.7232558253414499
Project2025,project2025,c0129,Project2025,0.6843640037011373
Project2025,project2025,c0130,Project2025,0.6872197648307613
Project2025,project2025,c0131,Project2025,0.6861614274101919
Project2025,project2025,c0132,Project2025,0.7012696559718403
Project2025,project2025,c0133,Project2025,0.7019692402193295
Project2025,project2025,c0134,Project2025,0.7853705522469506
Project2025,project2025,c0135,Project2025,0.6038208669616774
Project2025,project2025,c0136,Project2025,0.6266336703880547
Project2025,project2025,c0137,Project2025,0.5168221872283384
Project2025,project2025,c0138,Project2025,0.6203176215658238
Project2025,project2025,c0139,Project2025,0.47142476926088017
Project2025,project2025,c0140,Project2025,0.384696719306656
Project2025,project2025,c0141,Project2025,0.38140214216640644
Project2025,project2025,c0142,Project2025,0.5452484199847837
Project2025,project2025,c0143,Project2025,0.7603986585132592
Project2025,project2025,c0144,Project2025,0.798038091374487
Project2025,project2025,c0145,Project2025,0.7078559242404392
Project2025,project2025,c0146,Project2025,0.7122787933292433
Project2025,project2025,c0147,Project2025,0.6360470574711039
Project2025,project2025,c0148,Project2025,0.6695624921469393
Project2025,project2025,c0149,Project2025,0.717884852897355
Project2025,project2025,c0150,Project2025,0.6877203490177312
Project2025,project2025,c0151,Project2025,0.3409903175659075
Project2025,project2025,c0152,Project2025,0.6603640286522409
Project2025,project2025,c0153,Project2025,0.753316720791581
Project2025,project2025,c0154,Project2025,0.6821294497902821
Project2025,project2025,c0155,Project2025,0.6347140748289463
Project2025,project2025,c0156,Project2025,0.655242158202234
Project2025,project2025,c0157,Project2025,0.7139840455142611
Project2025,project2025,c0158,Project2025,0.6476198997242588
Project2025,project2025,c0159,Project2025,0.6956617515585325
Project2025,project2025,c0160,Project2025,0.6366330950311102
Project2025,project2025,c0161,Project2025,0.6980968346490312
Project2025,project2025,c0162,Project2025,0.6628946711011372
Project2025,project2025,c0163,Project2025,0.6243647796895193
Project2025,project2025,c0164,Project2025,0.6433872434106668
